

#PROBLEM: booleforce-1.2/traces/comp & longest chain length: 4 & average chain length: 2.6667 & median chain length: 2 & timeout: 7s 
8.3!9.22		0       33926636
8.3!9.23		0       33250146
8.3!10.0		0       32089420
8.3!10.1		0       32772394
8.3!11.0		0       32704516
8.3!11.1		0       32976322
8.3!12.0		0       32989548
8.3!12.1		0       33397054
8.3!13.0		0       33319118
8.3!13.1		0       33112462
8.3!13.2		0       32831153
8.3!13.3		0       31672542
8.3!13.4		0       36350304
8.3!13.5		0       34312345
8.3!14.0		0       32325204
8.3!14.1		0       32988773
8.3!15.0		0       37331655
8.3!15.1		0       39370682
8.3!16.0		0       34669150
8.3!16.1		0       54664751
8.3!16.2		0       34792492
8.3!16.3		0       35002861
8.3!16.4		0       35311172
8.3!16.5		0       32519996
8.3!16.6		0       38811674
8.3!16.7		0       36419696
8.3!16.8		0       32961406
8.3!16.9		0       33366516
8.3!16.10		0       32873856
8.3!16.11		0       34889491
8.3!16.12		0       34119358
8.3!16.13		0       54077997
8.3!16.14		0       32816574
8.3!16.15		0       32738126
8.3!16.16		0       32381069
8.3!16.17		0       33373060
8.3!16.18		0       32854593
8.3!16.19		0       33008232
8.3!16.20		0       34951422
8.3!16.21		0       32727485
8.3!16.22		0       34574928
8.3!16.23		0       37138172
8.4!9.0		0       34256695
8.4!9.1		0       33844049
8.4!9.2		0       36599490
8.4!9.3		0       33307366
8.4!9.4		0       34725501
8.4!9.5		0       33450127
8.4!9.6		0       33975413
8.4!9.7		0       57348837
8.4!9.8		0       32625644
8.4!9.9		0       34167907
8.4!9.10		0       50749912
8.4!9.11		0       32120267
8.4!9.12		0       33861004
8.4!9.13		0       32667044
8.4!9.14		0       32451520
8.4!9.15		0       36041225
8.4!9.16		0       34685777
8.4!9.17		0       32673178
8.4!9.18		0       39096365
8.4!9.19		0       33247036
8.4!9.20		0       34025894
8.4!9.21		0       32387198
8.4!9.22		0       32807557
8.4!9.23		0       32961670
8.4!10.0		0       35221003
8.4!10.1		0       32760468
8.4!11.0		0       33232624
8.4!11.1		0       56040201
8.4!12.0		0       50931634
8.4!12.1		0       34561883
8.4!13.0		0       33219915
8.4!13.1		0       32951813
8.4!13.2		0       44872269
8.4!13.3		0       33672479
8.4!13.4		0       33505833
8.4!13.5		0       35605142
8.4!14.0		0       32923513
8.4!14.1		0       33202560
8.4!15.0		0       34040246
8.4!15.1		0       36243595
8.4!16.0		0       57128949
8.4!16.1		0       33164184
8.4!16.2		0       31894288
8.4!16.3		0       33005654
8.4!16.4		0       34074785
8.4!16.5		0       33484075
8.4!16.6		0       34344574
8.4!16.7		0       52813302
8.4!16.8		0       54490459
8.4!16.9		0       49488468
8.4!16.10		0       32395063
8.4!16.11		0       32246721
8.4!16.12		0       40657339
8.4!16.13		0       32306016
8.4!16.14		0       39712760
8.4!16.15		0       35821607
8.4!16.16		0       36182126
8.4!16.17		0       33800466
8.4!16.18		0       33494823
8.4!16.19		0       33041280
8.4!16.20		0       34519418
8.4!16.21		0       31924360
8.4!16.22		0       36095762
8.4!16.23		0       49269133
8.5!9.0		0       32483085
8.5!9.1		0       39445721
8.5!9.2		0       33549207
8.5!9.3		0       52398454
8.5!9.4		0       33640244
8.5!9.5		0       33107418
8.5!9.6		0       33392857
8.5!9.7		0       40619542
8.5!9.8		0       52253737
8.5!9.9		0       34479862
8.5!9.10		0       32667986
8.5!9.11		0       33046398
8.5!9.12		0       31778650
8.5!9.13		0       36403948
8.5!9.14		0       33320992
8.5!9.15		0       36045452
8.5!9.16		0       37010596
8.5!9.17		0       41638659
8.5!9.18		0       34151499
8.5!9.19		0       33412779
8.5!9.20		0       56887242
8.5!9.21		0       32708056
8.5!9.22		0       33123800
8.5!9.23		0       32532580
8.5!10.0		0       33473680
8.5!10.1		0       33234071
8.5!11.0		0       42066014
8.5!11.1		0       35046803
8.5!12.0		0       55344733
8.5!12.1		0       33496135
8.5!13.0		0       33724664
8.5!13.1		0       35474146
8.5!13.2		0       34773020
8.5!13.3		0       39485078
8.5!13.4		0       35063070
8.5!13.5		0       33348040
8.5!14.0		0       33719788
8.5!14.1		0       32574302
8.5!15.0		0       34276612
8.5!15.1		0       32452504
8.5!16.0		0       32268158
8.5!16.1		0       33017055
8.5!16.2		0       35748467
8.5!16.3		0       35997288
8.5!16.4		0       34030703
8.5!16.5		0       32491645
8.5!16.6		0       33876835
8.5!16.7		0       38292822
8.5!16.8		0       32162584
8.5!16.9		0       33272119
8.5!16.10		0       33157564
8.5!16.11		0       33096417
8.5!16.12		0       36117674
8.5!16.13		0       33005390
8.5!16.14		0       33848525
8.5!16.15		0       33258203
8.5!16.16		0       52355177
8.5!16.17		0       35517502
8.5!16.18		0       34810982
8.5!16.19		0       45393888
8.5!16.20		0       32822827
8.5!16.21		0       52849486
8.5!16.22		0       41517779
8.5!16.23		0       32670099
9.0!10.0		0       33178818
9.0!10.1		0       34867240
9.0!11.0		0       35678953
9.0!11.1		0       53740202
9.0!12.0		0       35974177
9.0!12.1		0       44982082
9.0!13.0		0       34311967
9.0!13.1		0       32714082
9.0!13.2		0       41821203
9.0!13.3		0       40246317
9.0!13.4		0       33503958
9.0!13.5		0       37827867
9.0!14.0		0       33314044
9.0!14.1		0       37350328
9.0!15.0		0       34147721
9.0!15.1		0       32744242
9.0!16.0		0       36740270
